chutes,ladders,board_type,exact_roll,board_num,game_length,frequency
9,10,original,0,-1,18,19
9,10,original,0,-1,22,25
9,10,original,0,-1,17,27
9,10,original,0,-1,29,37
9,10,original,0,-1,85,3
9,10,original,0,-1,36,25
9,10,original,0,-1,24,31
9,10,original,0,-1,31,24
9,10,original,0,-1,47,7
9,10,original,0,-1,30,29
9,10,original,0,-1,15,19
9,10,original,0,-1,42,17
9,10,original,0,-1,86,3
9,10,original,0,-1,9,14
9,10,original,0,-1,26,26
9,10,original,0,-1,20,18
9,10,original,0,-1,28,28
9,10,original,0,-1,39,19
9,10,original,0,-1,25,25
9,10,original,0,-1,38,12
9,10,original,0,-1,33,17
9,10,original,0,-1,23,31
9,10,original,0,-1,55,13
9,10,original,0,-1,13,14
9,10,original,0,-1,69,4
9,10,original,0,-1,12,14
9,10,original,0,-1,16,19
9,10,original,0,-1,48,17
9,10,original,0,-1,32,15
9,10,original,0,-1,61,3
9,10,original,0,-1,41,14
9,10,original,0,-1,52,5
9,10,original,0,-1,14,21
9,10,original,0,-1,34,15
9,10,original,0,-1,54,7
9,10,original,0,-1,10,13
9,10,original,0,-1,51,10
9,10,original,0,-1,46,15
9,10,original,0,-1,19,22
9,10,original,0,-1,62,6
9,10,original,0,-1,8,5
9,10,original,0,-1,21,26
9,10,original,0,-1,94,4
9,10,original,0,-1,63,3
9,10,original,0,-1,171,1
9,10,original,0,-1,11,14
9,10,original,0,-1,49,9
9,10,original,0,-1,45,11
9,10,original,0,-1,59,6
9,10,original,0,-1,107,2
9,10,original,0,-1,43,12
9,10,original,0,-1,40,12
9,10,original,0,-1,60,6
9,10,original,0,-1,148,1
9,10,original,0,-1,37,19
9,10,original,0,-1,57,7
9,10,original,0,-1,27,25
9,10,original,0,-1,65,5
9,10,original,0,-1,77,3
9,10,original,0,-1,44,17
9,10,original,0,-1,64,5
9,10,original,0,-1,72,3
9,10,original,0,-1,78,3
9,10,original,0,-1,53,3
9,10,original,0,-1,89,1
9,10,original,0,-1,117,4
9,10,original,0,-1,35,16
9,10,original,0,-1,102,1
9,10,original,0,-1,67,3
9,10,original,0,-1,66,5
9,10,original,0,-1,81,2
9,10,original,0,-1,133,1
9,10,original,0,-1,56,6
9,10,original,0,-1,147,1
9,10,original,0,-1,50,5
9,10,original,0,-1,76,3
9,10,original,0,-1,88,3
9,10,original,0,-1,123,2
9,10,original,0,-1,70,3
9,10,original,0,-1,96,1
9,10,original,0,-1,71,4
9,10,original,0,-1,82,2
9,10,original,0,-1,80,5
9,10,original,0,-1,87,3
9,10,original,0,-1,109,1
9,10,original,0,-1,58,7
9,10,original,0,-1,68,4
9,10,original,0,-1,90,2
9,10,original,0,-1,100,2
9,10,original,0,-1,92,1
9,10,original,0,-1,73,2
9,10,original,0,-1,98,1
9,10,original,0,-1,84,1
9,10,original,0,-1,95,2
9,10,original,0,-1,106,2
9,10,original,0,-1,97,1
9,10,original,0,-1,75,3
9,10,original,0,-1,74,3
9,10,original,0,-1,99,1
9,10,original,0,-1,111,2
9,10,original,0,-1,210,1
9,10,original,0,-1,79,2
9,10,original,0,-1,128,1
9,10,original,0,-1,112,1
9,10,original,0,-1,176,1
9,10,original,0,-1,118,1
9,10,original,0,-1,110,2
9,10,original,1,-1,66,7
9,10,original,1,-1,26,32
9,10,original,1,-1,43,12
9,10,original,1,-1,41,11
9,10,original,1,-1,135,1
9,10,original,1,-1,32,17
9,10,original,1,-1,15,19
9,10,original,1,-1,40,22
9,10,original,1,-1,19,20
9,10,original,1,-1,59,10
9,10,original,1,-1,21,28
9,10,original,1,-1,30,27
9,10,original,1,-1,107,2
9,10,original,1,-1,71,2
9,10,original,1,-1,100,1
9,10,original,1,-1,52,8
9,10,original,1,-1,24,17
9,10,original,1,-1,17,22
9,10,original,1,-1,23,21
9,10,original,1,-1,50,10
9,10,original,1,-1,10,10
9,10,original,1,-1,22,29
9,10,original,1,-1,27,28
9,10,original,1,-1,37,20
9,10,original,1,-1,65,6
9,10,original,1,-1,18,18
9,10,original,1,-1,35,25
9,10,original,1,-1,28,27
9,10,original,1,-1,45,17
9,10,original,1,-1,48,10
9,10,original,1,-1,29,18
9,10,original,1,-1,36,17
9,10,original,1,-1,34,24
9,10,original,1,-1,72,1
9,10,original,1,-1,14,19
9,10,original,1,-1,55,10
9,10,original,1,-1,13,23
9,10,original,1,-1,33,16
9,10,original,1,-1,16,15
9,10,original,1,-1,69,7
9,10,original,1,-1,31,20
9,10,original,1,-1,11,7
9,10,original,1,-1,46,12
9,10,original,1,-1,113,3
9,10,original,1,-1,51,13
9,10,original,1,-1,53,13
9,10,original,1,-1,125,2
